paper_id,category,authors,year,title,venue,doi,source_url,species,developmental_stage,input_modality,temporal_behavior,tracking_pose,ml_method,ssl,ssl_objective,unsupervised_behavioral_discovery,handcrafted_comparison,held_out_animals,identity_control,session_control,speed_control,tracking_qc,segmentation_scale,peer_reviewed,primary_relevance,novelty_consequence,evidence_status,notes
UBD-003,zebrafish_temporal_modeling,Johnson et al.,2020,Probabilistic Models of Larval Zebrafish Behavior Reveal Structure on Many Scales,Current Biology,10.1016/j.cub.2019.11.026,https://doi.org/10.1016/j.cub.2019.11.026,Danio rerio,larval,high-resolution video -> 10-frame postural bout sequences,yes,postural sequence; eye/behavioral measurements,t-SNE + density-based bout clustering + marked renewal process models,no,,yes/relevant,bout/postural representation; not SSL-vs-handcrafted,not established in current extraction,not primary,not primary,not primary,not fully extracted,naturally segmented bouts; 10 frames (~167 ms),yes,natural bout unit; multi-timescale temporal modeling; zebrafish sequence precedent,Natural bout segmentation and probabilistic modeling of zebrafish behavioral sequences are established prior art.,web-verified + project synthesis,"Single larval fish; categorizes bouts and models action selection as a function of history, hunger and prey context."
METHOD-001,unsupervised_behavior_discovery,Berman et al.,2014,Mapping the stereotyped behaviour of freely moving fruit flies,Journal of the Royal Society Interface,10.1098/rsif.2014.0672,https://doi.org/10.1098/rsif.2014.0672,Drosophila melanogaster,adult,postural movement data,yes,postural dynamics,spectral/wavelet representation + nonlinear embedding + watershed-style behavioral mapping,no,,yes,not primary,not primary in current extraction,not primary,not primary,not primary,not primary,frame-local postural dynamics / stereotyped motifs,yes,foundational unsupervised computational ethology; MotionMapper precedent,Unsupervised discovery of stereotyped behavioral maps from posture substantially predates the proposed study.,web-verified,Found over 100 distinguishable stereotyped states in freely moving flies; foundational MotionMapper-style precedent.
METHOD-002,unsupervised_behavior_discovery,Hsu & Yttri,2021,"B-SOiD, an open-source unsupervised algorithm for identification and fast prediction of behaviors",Nature Communications,10.1038/s41467-021-25420-x,https://doi.org/10.1038/s41467-021-25420-x,"mouse, rat, human, fly demonstrations",,pose-estimation coordinates / pose relationships,yes,pose keypoints,spatiotemporal pose features + UMAP/HDBSCAN + random-forest assignment,no,,yes,pose-relationship features; benchmarked against MotionMapper,generalization across subjects/labs demonstrated; exact project-style split differs,not explicit project-style fish-ID probe,cross-camera/lab generalization discussed,kinematic measures analyzed; no matched speed-control battery,HDBSCAN used to handle pose variability,high-temporal-resolution frame/short-window features,yes,unsupervised pose clustering precedent; cross-subject generalization; clustering-method comparison,Pose-based unsupervised behavioral discovery and cross-subject generalization are established beyond zebrafish.,web-verified,Important comparator for discovery validation; not self-supervised representation learning.
METHOD-003,unsupervised_behavior_discovery,Luxem et al.,2022,Identifying behavioral structure from deep variational embeddings of animal motion,Communications Biology,10.1038/s42003-022-04080-7,https://doi.org/10.1038/s42003-022-04080-7,multiple animal datasets,,pose time series,yes,pose keypoints / time series,VAME: variational autoencoder + bidirectional RNN + latent clustering/HMM,unsupervised representation learning; not contrastive SSL,variational reconstruction / latent modeling,yes,not the primary matched handcrafted-vs-SSL question,not fully extracted for project-style subject split,not recorded in current extraction,not recorded,not recorded,pose preprocessing/alignment; detailed artifact battery not extracted,user-defined temporal window; latent sequence modeling,yes,deep temporal pose embedding and clustering precedent,Deep unsupervised temporal representation learning followed by behavioral clustering is established in computational ethology.,web-verified,Key discovery-method comparator; motif/state number is user-configurable in standard VAME workflows.
METHOD-004,unsupervised_behavior_discovery,Weinreb et al.,2024,Keypoint-MoSeq: parsing behavior by linking point tracking to pose dynamics,Nature Methods,10.1038/s41592-024-02318-2,https://doi.org/10.1038/s41592-024-02318-2,mouse and other benchmark datasets,,keypoint trajectories,yes,keypoint pose,autoregressive hidden Markov model / hierarchical nonparametric state model,no,,yes,"compared with VAME, B-SOiD, MotionMapper and external kinematics",not fully extracted into project matrix,not primary,per-session analyses; not project-style leakage probe,coarse kinematic features including acceleration/angular velocity evaluated,model explicitly separates keypoint noise from behavior,user-defined timescale; syllables ~hundreds of ms in benchmarks,yes,state-number/segmentation precedent; head-to-head discovery benchmark; tracking-noise handling,Modern unsupervised pose-state discovery includes explicit temporal-boundary and noise-validation strategies.,web-verified,Useful sensitivity-analysis precedent; does not replace the preregistered primary clustering family.
TRACK-001,tracking_pose,Mathis et al.,2018,DeepLabCut: markerless pose estimation of user-defined body parts with deep learning,Nature Neuroscience,10.1038/s41593-018-0209-y,https://doi.org/10.1038/s41593-018-0209-y,multi-species,,video,not primary,markerless user-defined body-part pose,deep convolutional pose estimation,no,,no,not primary,"pose-estimation evaluation, not project discovery split",not primary,not primary,not primary,pose-estimation accuracy/benchmarking,frame-level pose,yes,general pose-estimation infrastructure and tracking-QC precedent,"Markerless pose extraction is mature enabling technology, not a novel contribution of this project.",web-verified,Relevant mainly because Scholz uses DeepLabCut/SLEAP for zebrafish pose resources.
TRACK-002,tracking_pose,Pereira et al.,2022,SLEAP: A deep learning system for multi-animal pose tracking,Nature Methods,10.1038/s41592-022-01426-1,https://doi.org/10.1038/s41592-022-01426-1,multi-species / multi-animal,,video,tracking across time,multi-animal pose + identity tracking,deep learning pose estimation and identity tracking,no,,no,not primary,"pose-model validation, not project discovery split",identity tracking is a core capability,not primary,not primary,pose/identity tracking evaluation,frame-level tracking across sequences,yes,multi-animal tracking / identity precedent; supports Scholz and Deligkaris context,Pose and identity tracking infrastructure is established and must be treated as upstream measurement rather than behavioral discovery.,web-verified,Important for interpreting identity swaps and tracking errors in multi-animal datasets.
REVIEW-001,method_comparison,Mlost et al.,2025,Evaluation of unsupervised learning algorithms for the classification of behavior from pose estimation data,Patterns,10.1016/j.patter.2025.101237,https://doi.org/10.1016/j.patter.2025.101237,animal pose benchmark datasets,,pose-estimation data,yes,pose keypoints,"comparative evaluation of B-SOiD, BFA, VAME, Keypoint-MoSeq",mixed/algorithm dependent,not a single SSL objective,yes,method comparison rather than project matched baseline,varies by benchmark; not extracted as project-style requirement,not primary,not primary,not primary,method-dependent,method-dependent,yes,comparative evidence that discovery algorithms yield different motif structures and state-number behavior,There is no single universally best unsupervised behavior-discovery algorithm; method choice changes temporal/state interpretation.,web-verified,Supports keeping the primary discovery method fixed and treating alternative state models as sensitivity analyses.
CITE-008,method_comparison,Todd et al.,2017,Systematic exploration of unsupervised methods for mapping behavior,Physical Biology,10.1088/1478-3975/14/1/015002,https://doi.org/10.1088/1478-3975/14/1/015002,Drosophila melanogaster,,pose coordinates,yes,six-leg position tracking,comparison of seven unsupervised mapping methods,no,,yes,multiple mapping methods,not project-style,not primary,not primary,locomotor pose features,tracking-derived input,wavelet temporal features,yes,unsupervised-method comparison,Supports governed comparison of discovery methods rather than visual selection.,citation-chain verified,Backward citation from UBD-002; PubMed PMID 28166059.
CITE-009,zebrafish_unsupervised_discovery,Geng et al.,2023,Social behavioral profiling by unsupervised deep learning reveals a stimulative effect of dopamine D3 agonists on zebrafish sociality,Cell Reports Methods,10.1016/j.crmeth.2022.100381,https://doi.org/10.1016/j.crmeth.2022.100381,Danio rerio,juvenile,social-behavior video,yes,automated tracking,unsupervised deep learning,no,,yes,conventional assay comparison,not project-style,not primary,treatment context,locomotor and social dynamics represented,automated assay validation,dynamic social profiles,yes,direct zebrafish unsupervised precedent,Further narrows any claim of first zebrafish unsupervised deep behavioral profiling.,citation-chain verified,Forward citation from UBD-002; PubMed PMID 36814839.
CITE-013,zebrafish_behavior,Whyte-Fagundes et al.,2025,Automated detection of complex zebrafish seizure behavior at scale,Communications Biology,10.1038/s42003-025-08310-6,https://doi.org/10.1038/s42003-025-08310-6,Danio rerio,larval,high-speed multi-camera video,yes,eight-point skeletal pose,supervised machine learning,no,,behavioral motif detection,kinematic baselines,genetic and treatment generalization,not primary,well/treatment context,maximum speed central,pose and kinematic validation,dynamic seizure motifs,yes,automated behavior quantification,Shows scalable pose-based zebrafish behavior recognition but not the matched SSL discovery design.,citation-chain verified,Forward search from ZF-002.
CITE-015,animal_ssl,Azabou et al.,2023,"Relax, it doesn't matter how you get there: A new self-supervised approach for multi-timescale behavior analysis",arXiv,arXiv:2303.08811,https://arxiv.org/abs/2303.08811,multiple animals and robots,,pose/action sequences,yes,trajectory/action representation,self-supervised multi-task representation learning,yes,future action-distribution prediction,downstream benchmark evaluation,multiple baselines,benchmark splits,not primary,task/context prediction,activity dynamics represented,benchmark-provided tracking,multiple temporal scales,no; preprint,animal SSL precedent,Self-supervised multi-timescale behavioral representation learning is established.,citation-chain verified,Backward citation from SSL-003; refresh publication status before submission.
CITE-016,behavior_benchmark,Sun et al.,2023,MABe22: A Multi-Species Multi-Task Benchmark for Learned Representations of Behavior,Proceedings of Machine Learning Research,,https://proceedings.mlr.press/v202/sun23g.html,mice beetles ants and flies,,video and pose trajectories,yes,provided video and pose tracks,multiple learned representation methods,yes,multiple SSL benchmarks,downstream behavioral tasks,multiple representation baselines,benchmark train/test splits,identity/context tasks represented,recording-day and experimental-context tasks,behavior/activity tasks,benchmark tracking data,one-minute clips and frame tasks,yes,learned-behavior benchmark,Demonstrates cross-species SSL representation evaluation and nuisance/context decoding tasks.,citation-chain verified,ICML 2023; PMLR 202:32936-32990.
CITE-017,animal_video_ssl,Sun et al.,2024,Video Foundation Models for Animal Behavior Analysis,bioRxiv,10.1101/2024.07.30.605655,https://doi.org/10.1101/2024.07.30.605655,multiple animals,,behavioral video,yes,video representations,frozen video foundation models,yes,self-supervised/foundation pretraining,downstream classification retrieval localization,task-specific baselines,multiple dataset splits,not primary,cross-dataset evaluation,behavioral motion encoded,dataset-specific,video clips,no; preprint,animal-video representation precedent,General-purpose video representations for animal behavior are established outside the primary pose-sequence MVP.,citation-chain verified,Backward citation from SSL-003; refresh publication status before submission.
CITE-018,animal_video_ssl,Wang et al.,2026,BEAST3D: Animal behavioral analysis and neural encoding from multi-view video via Gaussian splatting,arXiv,arXiv:2606.02937,https://arxiv.org/abs/2606.02937,multiple animals,,calibrated multi-view video,yes,learned 3D structure,self-supervised multi-view representation learning,yes,held-out-view reconstruction,downstream pose and neural encoding,multiple downstream baselines,cross-species evaluation,viewpoint invariance evaluated,camera/view controls central,motion representation,segmentation and reconstruction evaluated,video clips and 3D structure,no; preprint,follow-on animal SSL,Extends animal SSL to viewpoint-invariant 3D representations but does not match the primary zebrafish comparison.,citation-chain verified,Forward citation from SSL-003; preprint status requires refresh.
