check_date,seed_paper_id,direction,source_checked,candidate_title,candidate_authors,candidate_year,doi_or_url,screening_decision,exclusion_reason,retained_paper_id,notes
2026-08-23,SSL-002,backward,Xu & Wang 2024 arXiv text,Masked Autoencoders Are Scalable Vision Learners,He K; Chen X; Xie S; Li Y; Dollár P; Girshick R,2022,10.1109/CVPR52688.2022.01553,exclude,not_behavioral,,"Direct masked-modeling inspiration, but not animal-behavior evidence."
2026-08-23,SSL-002,backward,Xu & Wang 2024 arXiv text,Improving Language Understanding by Generative Pre-Training,Radford A et al.,2018,,exclude,not_behavioral,,NLP pretraining inspiration; outside behavioral-evidence scope.
2026-08-23,SSL-002,backward,Xu & Wang architecture lineage,Attention Is All You Need,Vaswani A et al.,2017,10.48550/arXiv.1706.03762,exclude,not_behavioral,,Transformer architecture background only.
2026-08-23,SSL-002,forward,MICCAI 2025 open-access proceedings,Automated Detection of Abnormalities in Zebrafish Development,Sivaprasad S; Wang HP; Jäckel AL; Baumann J; Baumann C; Herrmann J; Fritz M,2025,10.1007/978-3-032-04981-0_6,exclude,outside_scope,,Cites Xu & Wang but focuses developmental-abnormality detection rather than behavioral representation/discovery.
2026-08-23,SSL-003,backward,BEAST full text reference list (PMC),"Relax, it doesn't matter how you get there: A new self-supervised approach for multi-timescale behavior analysis",Azabou M et al.,2023,https://arxiv.org/abs/2303.08811,include,,CITE-015,Direct animal-behavior self-supervised multi-timescale precedent cited by BEAST.
2026-08-23,SSL-003,backward,BEAST full text reference list (PMC),MABe22: A Multi-Species Multi-Task Benchmark for Learned Representations of Behavior,Sun JJ et al.,2023,https://proceedings.mlr.press/v202/sun23g.html,include,,CITE-016,Direct learned-behavior-representation benchmark cited by BEAST.
2026-08-23,SSL-003,backward,BEAST full text reference list (PMC),Video foundation models for animal behavior analysis,Sun JJ et al.,2024,10.1101/2024.07.30.605655,include,,CITE-017,Animal-behavior video representation/foundation-model precedent cited by BEAST.
2026-08-23,SSL-003,backward,BEAST full text reference list (PMC),Masked Autoencoders Are Scalable Vision Learners,He K et al.,2022,10.1109/CVPR52688.2022.01553,exclude,not_behavioral,,Core image SSL method; method background rather than animal-behavior evidence.
2026-08-23,SSL-003,backward,BEAST full text reference list (PMC),A Simple Framework for Contrastive Learning of Visual Representations,Chen T et al.,2020,10.48550/arXiv.2002.05709,exclude,not_behavioral,,Core contrastive method background; not retained as behavioral evidence.
2026-08-23,SSL-003,forward,arXiv record,BEAST3D: Animal behavioral analysis and neural encoding from multi-view video via Gaussian splatting,Wang Y; Aharon L; Zhu W; Daruwalla K; Zhang L; Zou J; Chettih S; Hou H; Paninski L; Whiteway MR,2026,https://arxiv.org/abs/2606.02937,include,,CITE-018,Direct follow-on work citing BEAST; relevant to multi-view animal-behavior representation learning.
