date,database,query,results_screened,papers_retained,notes
2026-08-22,Publisher verification,AquaMaze zebrafish DOI authors,NR,1,"Verified authors, 2026 publication, DOI, and core locomotion metrics. Exact screening count was not recorded contemporaneously."
2026-08-23,Citation-chain ledger,UBD-001 backward citation check,5,0,"Candidate-level decisions recorded in references/citation-chain.csv; two duplicates and three exclusions after scope reconciliation."
2026-08-23,Citation-chain ledger,UBD-001 forward citation check,6,0,"Candidate-level decisions recorded in references/citation-chain.csv; four duplicates and two exclusions after scope reconciliation."
2026-08-23,Citation-chain ledger,UBD-002 backward citation check,4,1,"Candidate-level decisions recorded in references/citation-chain.csv; one duplicate, two organism-scope exclusions, and one retained methods-comparison record."
2026-08-23,Citation-chain ledger,UBD-002 forward citation check,2,1,"Candidate-level decisions recorded in references/citation-chain.csv; ZeChat retained and a supervised feature-selection study excluded."
2026-08-23,Citation-chain ledger,ZF-002 backward citation check,3,0,"Candidate-level decisions recorded in references/citation-chain.csv; one duplicate and two review-only exclusions."
2026-08-23,Citation-chain ledger,ZF-002 forward citation check,2,1,"Candidate-level decisions recorded in references/citation-chain.csv; one duplicate and one newly retained record."
2026-08-23,Citation-chain ledger,SSL-001 backward citation check,3,0,"Candidate-level decisions recorded in references/citation-chain.csv; all three method-lineage records excluded from the bounded animal-behavior evidence matrix."
2026-08-23,Citation-chain ledger,SSL-001 forward citation check,2,0,"Candidate-level decisions recorded in references/citation-chain.csv; one exclusion and one duplicate."
2026-08-23,Citation-chain ledger,SSL-002 backward citation check,3,0,"Candidate-level decisions recorded in references/citation-chain.csv; all three candidates excluded as non-behavioral method background."
2026-08-23,Citation-chain ledger,SSL-002 forward citation check,1,0,"One identified citing paper was excluded as outside scope; the no-match search outcome is recorded here rather than as a candidate row. Recheck with a live citation index before final saturation."
2026-08-23,Citation-chain ledger,SSL-003 backward citation check,5,3,"Candidate-level decisions recorded in references/citation-chain.csv; two non-behavioral method papers excluded."
2026-08-23,Citation-chain ledger,SSL-003 forward citation check,1,1,"Candidate-level decisions recorded in references/citation-chain.csv; BEAST3D retained as a direct follow-on self-supervised animal-video method."
